credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mi_percentage,number_of_units,occupancy_status,original_cltv,original_dti,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_mortgage,amortization_type,property_state,property_type,postal_code,loan_sequence_number,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name,pre_relief_refinance_loan_sequence_number,special_eligibility_program,relief_refinance_indicator,property_valuation_method,interest_only_indicator,loan_duration_years,loan_term_category,credit_risk_category,dti_risk_category,ltv_risk_category,cltv_risk_category,combined_risk_indicator,total_months_observed,months_delinquent,months_seriously_delinquent,maximum_delinquency_status,latest_upb,ever_delinquent_flag,ever_seriously_delinquent_flag,delinquency_rate,serious_delinquency_rate,loan_balance_status
787.0,2020-03-01,N,2050-02-01,,0,1,P,39,21,105000,39,3.75,R,N,FRM,MI,SF,493,F20Q10001966,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,74,0,0,0.0,92055.14,0,0,0.0,0.0,Active Balance
743.0,2020-03-01,N,2035-02-01,,0,1,P,57,45,92000,57,3.375,R,N,FRM,MI,SF,494,F20Q10002067,P,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
738.0,2020-04-01,N,2050-03-01,39300,30,1,P,95,42,242000,95,3.75,R,N,FRM,RI,SF,028,F20Q10002079,N,360,1,OTHER,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,73,0,0,0.0,177655.27,0,0,0.0,0.0,Active Balance
743.0,2020-03-01,N,2050-02-01,13900,12,1,P,85,26,357000,85,3.5,R,N,FRM,ND,SF,585,F20Q10002218,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,10,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
775.0,2020-03-01,N,2035-02-01,,0,1,P,72,25,200000,72,3.5,R,N,FRM,NC,SF,281,F20Q10002239,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,74,0,0,0.0,130082.39,0,0,0.0,0.0,Active Balance
605.0,2020-03-01,N,2050-02-01,,0,1,P,55,42,110000,55,4.375,R,N,FRM,IL,SF,628,F20Q10002260,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Fair,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,50,4,0,1.0,0.0,1,0,0.08,0.0,Zero Balance
748.0,2020-05-01,Y,2050-04-01,,30,1,P,95,29,195000,95,3.625,R,N,FRM,ND,SF,588,F20Q10002288,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,72,0,0,0.0,169626.99,0,0,0.0,0.0,Active Balance
784.0,2020-03-01,N,2050-02-01,38900,0,1,P,77,35,373000,77,4.0,R,N,FRM,OR,SF,972,F20Q10002334,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,74,0,0,0.0,328665.86,0,0,0.0,0.0,Active Balance
748.0,2020-03-01,N,2050-02-01,19780,0,1,S,80,19,288000,80,3.75,R,N,FRM,IA,SF,502,F20Q10002441,N,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
667.0,2020-04-01,Y,2050-03-01,34740,0,1,P,77,38,138000,77,4.75,R,N,FRM,MI,MH,493,F20Q10002521,P,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Fair,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,42,8,6,8.0,0.0,1,1,0.1905,0.1429,Zero Balance
768.0,2020-04-01,N,2035-03-01,38900,0,1,P,27,45,75000,27,3.25,R,N,FRM,OR,SF,971,F20Q10002531,N,180,2,OTHER,N,,N,1,N,9999,14.91,Short-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,33,4,0,2.0,0.0,1,0,0.1212,0.0,Zero Balance
809.0,2020-04-01,N,2035-03-01,19340,25,1,P,95,37,257000,95,3.25,R,N,FRM,IL,SF,612,F20Q10002542,P,180,2,OTHER,N,,N,2,N,9999,14.91,Short-Term,Excellent,High DTI,High LTV,High CLTV,High Risk Indicators,73,0,0,0.0,167226.25,0,0,0.0,0.0,Active Balance
700.0,2020-04-01,N,2035-03-01,,0,1,P,80,31,162000,80,3.0,R,N,FRM,OK,SF,734,F20Q10002555,N,180,1,OTHER,N,,N,1,N,9999,14.91,Short-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,73,0,0,0.0,105706.72,0,0,0.0,0.0,Active Balance
742.0,2020-03-01,Y,2050-02-01,38900,0,1,P,80,43,440000,80,3.75,R,N,FRM,OR,PU,970,F20Q10002618,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,74,0,0,0.0,317981.23,0,0,0.0,0.0,Active Balance
790.0,2020-03-01,N,2040-02-01,16984,0,1,P,52,18,415000,52,3.5,R,N,FRM,IL,SF,600,F20Q10002836,N,240,2,OTHER,N,,N,2,N,9999,19.92,Medium-Term,Very Good,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,4,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
709.0,2020-03-01,Y,2050-02-01,,0,1,P,80,11,140000,80,3.625,R,N,FRM,OH,SF,435,F20Q10002844,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,74,0,0,0.0,122424.3,0,0,0.0,0.0,Active Balance
724.0,2020-03-01,N,2050-02-01,23060,25,1,P,90,32,315000,90,3.75,R,N,FRM,IN,SF,467,F20Q10002906,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,25,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
816.0,2020-03-01,N,2035-02-01,22020,0,1,P,78,19,213000,78,2.875,R,N,FRM,ND,SF,581,F20Q10002957,P,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Excellent,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,30,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
762.0,2020-03-01,Y,2050-02-01,14454,0,1,P,59,23,429000,59,3.75,R,N,FRM,MA,CO,021,F20Q10002984,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,14,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
783.0,2020-03-01,N,2050-02-01,34980,0,1,I,60,42,258000,60,3.75,R,N,FRM,TN,SF,372,F20Q10002994,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,74,0,0,0.0,226192.13,0,0,0.0,0.0,Active Balance
795.0,2020-03-01,Y,2050-02-01,11700,16,1,P,95,27,271000,95,3.875,R,N,FRM,NC,SF,288,F20Q10003044,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,H,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
739.0,2020-03-01,N,2050-02-01,38900,25,1,P,90,45,405000,90,4.25,R,N,FRM,WA,PU,986,F20Q10003057,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,9,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
684.0,2020-03-01,Y,2050-02-01,29620,25,1,P,95,37,68000,95,3.75,R,N,FRM,MI,SF,489,F20Q10003181,P,360,1,OTHER,N,H,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,74,4,1,3.0,60917.66,1,1,0.0541,0.0135,Active Balance
814.0,2020-03-01,N,2050-02-01,35840,30,1,P,95,31,204000,95,4.0,C,N,FRM,FL,PU,342,F20Q10003207,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",N,,N,2,N,9999,29.92,Long-Term,Excellent,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,1,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
769.0,2020-03-01,N,2040-02-01,38900,0,1,P,65,45,153000,65,3.625,R,N,FRM,WA,CO,986,F20Q10003244,C,240,2,OTHER,N,,N,2,N,9999,19.92,Medium-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
769.0,2020-03-01,Y,2050-02-01,25860,30,1,P,95,32,113000,95,3.5,R,N,FRM,NC,SF,286,F20Q10003247,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,74,0,0,0.0,97667.36,0,0,0.0,0.0,Active Balance
737.0,2020-03-01,N,2035-02-01,18140,0,1,P,80,41,124000,80,3.5,R,N,FRM,OH,SF,430,F20Q10003256,C,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,74,0,0,0.0,74512.51,0,0,0.0,0.0,Active Balance
775.0,2020-03-01,N,2050-02-01,29404,0,1,P,59,48,204000,59,3.75,R,N,FRM,WI,SF,531,F20Q10003261,N,360,1,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,Very High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,38,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
